SMILES,Molecule_id,Activity Value [nM],Molecules,MW,HBA,HBD,logP,TPSA,CSP3,NumRings,HetAtoms,RotBonds,Murcko_SMILES,Scaffold,Source
CC12CCC(C1)C(C)(C)C2NS(=O)(=O)c1ccc(F)cc1,CHEMBL311039,5000.0,<rdkit.Chem.rdchem.Mol object at 0x000002600619EF10>,311.135528164,2,1,3.3188000000000013,46.17,0.625,3,5,3,O=S(=O)(NC1CC2CCC1C2)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x0000026006500EB0>,ChEMBL
CC12CC[C@@H](C1)C(C)(C)[C@@H]2NS(=O)(=O)c1cccs1,CHEMBL450926,2700.0,<rdkit.Chem.rdchem.Mol object at 0x00000260064EBF40>,299.101370912,3,1,3.241200000000002,46.17,0.7142857142857143,3,5,3,O=S(=O)(N[C@H]1C[C@H]2CCC1C2)c1cccs1,<rdkit.Chem.rdchem.Mol object at 0x00000260065C9850>,ChEMBL
CC12CC[C@@H](C1)C(C)(C)[C@@H]2NS(=O)(=O)c1ccc(F)cc1,CHEMBL310242,1800.0,<rdkit.Chem.rdchem.Mol object at 0x00000260064E8F20>,311.135528164,2,1,3.3188000000000013,46.17,0.625,3,5,3,O=S(=O)(N[C@H]1C[C@H]2CCC1C2)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x00000260065C98C0>,ChEMBL
CC12CC[C@@H](C1)C(C)(C)[C@@H]2NS(=O)(=O)c1ccc(Cl)cc1,CHEMBL74874,11000.0,<rdkit.Chem.rdchem.Mol object at 0x00000260064EBED0>,327.105977624,2,1,3.8331000000000026,46.17,0.625,3,5,3,O=S(=O)(N[C@H]1C[C@H]2CCC1C2)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x00000260065C9930>,ChEMBL
CC12CC[C@@H](C1)C(C)(C)[C@@H]2NS(=O)(=O)c1ccc(Br)cc1,CHEMBL75183,10000.0,<rdkit.Chem.rdchem.Mol object at 0x00000260064EBE60>,371.05546204399997,2,1,3.9422000000000033,46.17,0.625,3,5,3,O=S(=O)(N[C@H]1C[C@H]2CCC1C2)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x00000260065C99A0>,ChEMBL
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,CHEMBL563,305000.0,<rdkit.Chem.rdchem.Mol object at 0x00000260064EB8B0>,244.089957876,1,1,3.6808000000000023,37.3,0.13333333333333333,2,3,3,c1ccc(-c2ccccc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x00000260065C9A10>,ChEMBL
CC(C(=O)O)c1ccc(-c2ccc(Cl)c(Cl)c2)c(F)c1,CHEMBL196279,75000.0,<rdkit.Chem.rdchem.Mol object at 0x00000260064E9C40>,312.012013172,1,1,4.987600000000002,37.3,0.13333333333333333,2,5,3,c1ccc(-c2ccccc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x00000260065C9A80>,ChEMBL
CC(C(=O)O)c1ccc(-c2cc(Cl)cc(Cl)c2)c(F)c1,CHEMBL195970,77000.0,<rdkit.Chem.rdchem.Mol object at 0x00000260064E93F0>,312.012013172,1,1,4.987600000000002,37.3,0.13333333333333333,2,5,3,c1ccc(-c2ccccc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x00000260065C9AF0>,ChEMBL
CC(C(=O)O)c1ccc(-c2ccc(C3CCCCC3)cc2)c(F)c1,CHEMBL264006,21000.0,<rdkit.Chem.rdchem.Mol object at 0x00000260064E9380>,326.168208196,1,1,5.728500000000004,37.3,0.38095238095238093,3,3,4,c1ccc(-c2ccc(C3CCCCC3)cc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x00000260065C9B60>,ChEMBL
CC(C(=O)O)c1ccc(-c2ccc(C(F)(F)F)cc2)c(F)c1,CHEMBL193971,129000.0,<rdkit.Chem.rdchem.Mol object at 0x00000260064E9310>,312.077342504,1,1,4.699600000000003,37.3,0.1875,2,6,3,c1ccc(-c2ccccc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x00000260065C9BD0>,ChEMBL
CC(C(=O)O)c1ccc(-c2csc3ccccc23)c(F)c1,CHEMBL194274,83000.0,<rdkit.Chem.rdchem.Mol object at 0x00000260064E92A0>,300.062028876,2,1,4.895500000000003,37.3,0.11764705882352941,3,4,3,c1ccc(-c2csc3ccccc23)cc1,<rdkit.Chem.rdchem.Mol object at 0x00000260065C9C40>,ChEMBL
COc1ccc(-c2ccc(C(C)C(=O)O)cc2F)cc1,CHEMBL196321,67000.0,<rdkit.Chem.rdchem.Mol object at 0x00000260064E9230>,274.10052256,2,1,3.689400000000002,46.53,0.1875,2,4,4,c1ccc(-c2ccccc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x00000260065C9CB0>,ChEMBL
CC(C(=O)O)c1ccc(-c2ccc3c(c2)OCO3)c(F)c1,CHEMBL196322,210000.0,<rdkit.Chem.rdchem.Mol object at 0x00000260064E91C0>,288.07978711600003,3,1,3.4095000000000013,55.760000000000005,0.1875,3,5,3,c1ccc(-c2ccc3c(c2)OCO3)cc1,<rdkit.Chem.rdchem.Mol object at 0x00000260065C9D20>,ChEMBL
