Molecule_id,Activity Value [nM],SMILES,Molecules,MW,HBA,HBD,logP,TPSA,CSP3,NumRings,HetAtoms,RotBonds,Murcko_SMILES,Scaffold,Source
44313410,10000.0,CC1([C@H]2CCC(C2)([C@H]1NS(=O)(=O)C3=CC=C(C=C3)Br)C)C,<rdkit.Chem.rdchem.Mol object at 0x000002607F9104A0>,371.05546204399997,2,1,3.9422000000000033,46.17,0.625,3,5,3,O=S(=O)(N[C@H]1C[C@H]2CCC1C2)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x000002600619EEA0>,PubChem
44313421,11000.0,CC1([C@H]2CCC(C2)([C@H]1NS(=O)(=O)C3=CC=C(C=C3)Cl)C)C,<rdkit.Chem.rdchem.Mol object at 0x000002607F910200>,327.105977624,2,1,3.8331000000000026,46.17,0.625,3,5,3,O=S(=O)(N[C@H]1C[C@H]2CCC1C2)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x0000026006E8CC80>,PubChem
44313381,2700.0,CC1([C@H]2CCC(C2)([C@H]1NS(=O)(=O)C3=CC=CS3)C)C,<rdkit.Chem.rdchem.Mol object at 0x000002607F9106D0>,299.101370912,3,1,3.241200000000002,46.17,0.7142857142857143,3,5,3,O=S(=O)(N[C@H]1C[C@H]2CCC1C2)c1cccs1,<rdkit.Chem.rdchem.Mol object at 0x0000026006E8CCF0>,PubChem
3743359,5000.0,CC1(C2CCC(C2)(C1NS(=O)(=O)C3=CC=C(C=C3)F)C)C,<rdkit.Chem.rdchem.Mol object at 0x000002607F9105F0>,311.135528164,2,1,3.318800000000002,46.17,0.625,3,5,3,O=S(=O)(NC1CC2CCC1C2)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x0000026006E8CD60>,PubChem
44313401,1800.0,CC1([C@H]2CCC(C2)([C@H]1NS(=O)(=O)C3=CC=C(C=C3)F)C)C,<rdkit.Chem.rdchem.Mol object at 0x000002607F910430>,311.135528164,2,1,3.318800000000002,46.17,0.625,3,5,3,O=S(=O)(N[C@H]1C[C@H]2CCC1C2)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x0000026006E8CDD0>,PubChem
9996409,14000.0,C1CC1(C2=CC(=C(C=C2)C3=CC(=C(C=C3)Cl)Cl)F)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x000002607F9103C0>,324.01201317199997,1,1,4.915700000000002,37.3,0.1875,3,5,3,c1ccc(-c2ccc(C3CC3)cc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000026006E8CE40>,PubChem
11609939,409000.0,C1CC1(C2=CC(=C(C=C2)C3=CC=C(C=C3)C4=CC=C(C=C4)O)F)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x000002607F910350>,348.11617262399994,2,2,4.981500000000004,57.53,0.13636363636363635,4,4,4,c1ccc(-c2ccc(-c3ccc(C4CC4)cc3)cc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000026006E8CEB0>,PubChem
10471478,111000.0,C1CC1(C2=CC(=C(C=C2)C3=CC=C(C=C3)C(F)(F)F)F)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x000002607F887D80>,324.07734250399994,1,1,4.627700000000002,37.3,0.23529411764705882,3,6,3,c1ccc(-c2ccc(C3CC3)cc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000026006E8CF20>,PubChem
11645550,70600.0,CC(C)(C1=CC(=C(C=C1)C2=CC=C(C=C2)C(F)(F)F)F)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x000002607F887990>,326.09299256799994,1,1,4.873700000000002,37.3,0.23529411764705882,2,6,3,c1ccc(-c2ccccc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000026006E8CF90>,PubChem
11565868,94000.0,CC(C1=CC(=C(C=C1)C2=CC(=CC(=C2)Cl)Cl)F)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x000002607F887760>,312.01201317199997,1,1,4.987600000000002,37.3,0.13333333333333333,2,5,3,c1ccc(-c2ccccc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000026006E8D000>,PubChem
